,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,target
0,0,0,0,0,6.1,6.9,4.8,5.6,0,2,5,3,EXATAS
1,0,0,0,0,7.1,6.8,6.1,6.1,1,8,3,3,EXATAS
2,1,1,1,1,0.0,0.0,0.0,0.0,1,4,2,6,DIFICULDADE
3,0,0,0,0,5.3,5.2,5.6,6.0,1,2,2,5,EXATAS
4,1,1,1,3,0.0,0.0,0.0,0.0,0,6,2,6,DIFICULDADE
5,0,0,0,0,5.1,6.0,4.7,4.9,1,3,2,7,EXATAS
6,0,0,0,0,6.1,6.5,7.9,5.4,1,6,6,4,HUMANAS
7,0,0,0,0,6.2,6.0,6.2,4.8,1,3,4,4,EXATAS
8,1,1,3,1,0.0,0.0,0.0,0.0,1,4,2,4,DIFICULDADE
9,0,0,0,0,6.4,6.9,6.1,6.6,1,15,5,2,EXATAS
10,1,1,1,1,0.0,0.0,0.0,0.0,0,4,3,5,DIFICULDADE
11,0,0,0,0,6.3,4.7,5.1,0.0,0,8,2,6,EXATAS
12,0,0,0,0,6.1,6.1,5.0,4.6,0,4,2,4,EXATAS
13,3,1,1,3,0.0,0.0,0.0,0.0,1,5,4,5,DIFICULDADE
14,0,0,0,0,6.5,6.7,5.3,0.0,1,8,5,2,EXATAS
15,0,0,0,0,7.2,7.0,6.9,0.0,1,2,6,2,HUMANAS
16,1,3,1,3,0.0,0.0,0.0,0.0,1,4,2,6,DIFICULDADE
17,0,0,0,0,6.9,7.0,7.0,5.9,0,4,2,3,HUMANAS
18,0,0,0,0,7.5,6.9,6.0,6.3,1,10,7,1,EXATAS
19,0,0,0,0,6.5,4.3,5.9,5.9,0,9,3,6,EXATAS
20,0,0,0,0,6.4,5.4,7.6,5.7,0,10,5,1,HUMANAS
21,0,0,0,0,6.3,6.6,6.7,0.0,1,7,4,3,HUMANAS
22,0,0,0,0,5.0,6.1,5.2,5.2,1,2,0,5,DIFICULDADE
23,0,0,0,0,7.1,6.5,5.1,5.1,1,5,6,1,EXATAS
24,0,0,0,0,5.9,5.5,5.9,5.9,0,17,5,1,EXATAS
25,1,1,1,1,0.0,0.0,0.0,0.0,0,6,2,5,DIFICULDADE
26,0,0,0,0,6.6,6.9,6.1,5.8,1,13,5,5,EXATAS
27,0,0,0,0,7.1,7.4,8.0,0.0,1,4,4,1,MUITO_BOM
28,1,1,1,3,0.0,0.0,0.0,0.0,1,7,1,3,DIFICULDADE
29,0,0,0,0,6.4,7.0,6.1,5.4,1,4,5,3,EXATAS
30,0,0,0,0,6.4,6.2,6.2,5.1,1,10,2,4,EXATAS
31,0,0,0,0,7.4,7.2,6.1,6.6,1,4,2,6,EXATAS
32,0,0,0,0,7.3,7.8,7.3,6.1,1,4,0,3,HUMANAS
33,1,3,1,1,0.0,0.0,0.0,0.0,0,14,5,1,DIFICULDADE
34,0,0,0,0,6.5,5.6,5.8,5.0,1,12,6,2,EXATAS
35,0,0,0,0,6.8,6.8,8.0,7.3,0,4,5,2,HUMANAS
36,0,0,1,3,6.3,6.4,0.0,0.0,0,9,0,8,DIFICULDADE
37,0,0,0,0,5.7,5.5,6.8,4.9,0,6,5,4,HUMANAS
38,0,0,0,0,7.3,7.7,7.6,6.5,0,14,2,6,HUMANAS
39,0,0,1,3,6.6,7.1,0.0,0.0,0,4,5,3,DIFICULDADE
40,0,0,0,0,7.3,7.7,6.8,0.0,0,9,5,2,MUITO_BOM
41,0,0,0,0,7.4,8.3,9.1,7.8,1,24,5,4,EXCELENTE
42,0,0,0,0,6.1,6.6,5.8,5.0,1,3,5,5,EXATAS
43,0,0,0,0,7.3,7.9,7.2,5.5,1,10,5,1,MUITO_BOM
44,0,0,0,0,7.0,7.0,5.1,0.0,1,8,2,6,EXATAS
45,0,0,0,0,7.7,8.2,9.5,7.5,1,19,3,6,EXCELENTE
46,1,3,1,1,0.0,0.0,0.0,0.0,1,3,1,6,DIFICULDADE
47,0,0,0,0,7.3,7.1,7.3,6.3,1,3,3,3,HUMANAS
48,0,0,0,0,7.0,7.2,6.8,7.0,1,2,3,3,MUITO_BOM
49,0,0,0,0,7.6,7.8,6.6,7.5,0,12,2,6,MUITO_BOM
50,1,3,1,1,0.0,0.0,0.0,0.0,0,7,4,4,DIFICULDADE
51,1,1,1,1,0.0,0.0,0.0,0.0,1,23,4,3,DIFICULDADE
52,0,0,1,3,6.1,6.5,0.0,0.0,1,4,5,3,DIFICULDADE
53,0,0,0,0,6.3,6.5,5.8,4.7,0,9,5,2,EXATAS
54,0,0,0,0,6.6,6.3,5.6,6.0,1,11,2,6,EXATAS
55,0,0,0,0,5.4,4.9,5.4,4.9,0,2,3,3,DIFICULDADE
56,0,0,0,0,7.1,5.8,7.1,5.3,1,4,3,4,HUMANAS
57,0,0,0,0,7.1,7.1,6.6,6.5,1,8,2,6,HUMANAS
58,1,1,3,1,0.0,0.0,0.0,0.0,0,13,7,2,DIFICULDADE
59,0,0,0,0,5.9,6.0,6.3,6.1,1,2,5,6,EXATAS
60,0,0,0,0,6.7,7.1,6.5,6.5,1,4,5,4,EXATAS
61,1,3,1,1,0.0,0.0,0.0,0.0,1,9,2,3,DIFICULDADE
62,0,0,0,0,6.2,6.7,5.1,5.8,1,5,4,5,EXATAS
63,1,1,3,1,0.0,0.0,0.0,0.0,1,4,6,2,DIFICULDADE
64,0,0,0,0,6.3,6.5,5.8,5.0,1,9,0,8,EXATAS
65,0,0,0,0,6.4,5.4,4.8,4.8,1,6,4,3,EXATAS
66,1,1,1,1,0.0,0.0,0.0,0.0,1,1,0,7,DIFICULDADE
67,0,0,0,0,6.9,6.8,6.1,6.4,0,10,2,3,EXATAS
68,0,0,0,0,7.0,6.9,4.7,5.2,0,5,5,2,EXATAS
69,0,0,0,0,5.9,5.0,6.8,5.6,0,4,5,2,HUMANAS
70,0,0,0,0,7.2,6.9,5.5,0.0,1,4,3,5,EXATAS
71,0,0,1,3,5.4,0.0,0.0,0.0,1,8,3,6,DIFICULDADE
72,0,0,0,0,6.4,6.0,6.2,0.0,0,15,6,2,EXATAS
73,0,0,0,0,6.0,5.8,5.5,6.0,1,3,5,4,EXATAS
74,1,1,1,1,0.0,0.0,0.0,0.0,0,8,2,6,DIFICULDADE
75,0,0,0,0,6.8,7.2,6.8,0.0,0,5,0,4,HUMANAS
76,0,0,0,0,6.6,5.7,6.8,0.0,1,16,3,3,HUMANAS
77,0,0,0,0,7.1,6.9,7.9,6.5,1,11,5,3,HUMANAS
78,0,0,0,0,6.7,6.8,6.7,5.3,0,13,5,2,HUMANAS
79,0,0,0,0,6.2,4.9,5.5,4.7,0,2,2,3,EXATAS
80,0,0,0,0,6.6,6.5,7.4,5.9,0,4,0,3,HUMANAS
81,0,0,1,3,6.4,5.8,0.0,0.0,1,2,0,7,DIFICULDADE
82,0,0,0,0,6.2,5.7,5.5,5.2,0,2,4,2,EXATAS
83,0,0,0,0,7.5,7.7,8.1,6.6,0,10,5,3,MUITO_BOM
84,0,0,0,0,7.8,7.4,7.6,6.6,1,5,4,1,EXCELENTE
85,0,0,0,0,6.8,6.6,6.8,0.0,1,2,3,3,HUMANAS
86,0,0,0,0,6.8,6.9,7.4,6.5,0,5,2,3,HUMANAS
87,1,1,1,1,0.0,0.0,0.0,0.0,1,3,7,1,DIFICULDADE
88,0,0,0,0,5.6,5.7,4.9,0.0,1,11,5,1,EXATAS
89,0,0,0,0,4.7,4.6,4.6,4.8,1,5,2,6,DIFICULDADE
90,0,0,0,0,5.8,5.7,5.8,0.0,0,13,3,4,EXATAS
91,0,0,0,0,5.5,5.7,6.3,4.3,1,5,1,3,EXATAS
92,0,0,0,0,5.4,5.7,5.0,5.1,1,3,5,3,EXATAS
93,0,0,0,0,5.9,5.7,5.9,5.5,1,6,2,4,EXATAS
94,0,0,0,0,6.2,5.9,5.7,0.0,1,7,4,1,EXATAS
95,0,0,0,0,6.8,6.1,8.3,7.1,0,4,5,3,MUITO_BOM
96,0,0,0,0,6.2,7.0,6.6,5.3,0,3,2,6,HUMANAS
97,1,3,3,1,0.0,0.0,0.0,0.0,0,2,1,6,DIFICULDADE
98,0,0,0,0,6.6,5.8,6.0,5.5,1,5,5,3,EXATAS
99,0,0,0,0,7.0,6.0,7.1,5.2,0,5,5,3,HUMANAS
100,0,0,0,0,5.7,5.7,5.4,0.0,1,4,3,3,EXATAS
101,3,1,1,1,0.0,0.0,0.0,0.0,0,4,2,7,DIFICULDADE
102,0,0,0,0,7.1,6.7,8.2,6.7,0,17,2,6,HUMANAS
103,0,0,0,0,5.4,6.3,5.0,4.3,0,4,1,3,DIFICULDADE
104,0,0,0,0,6.5,5.7,5.8,5.5,1,2,5,3,EXATAS
105,0,0,0,0,7.3,7.5,8.4,6.6,1,7,1,1,HUMANAS
106,1,1,1,1,0.0,0.0,0.0,0.0,1,3,2,6,DIFICULDADE
107,0,0,0,0,6.5,6.9,5.9,6.8,0,5,2,6,EXATAS
108,0,0,0,0,6.1,5.2,5.8,6.1,0,4,3,2,EXATAS
109,0,0,0,0,7.6,7.9,8.6,7.2,0,17,6,1,EXCELENTE
110,0,0,0,0,7.6,7.5,6.9,6.9,0,15,3,1,HUMANAS
111,0,0,0,0,5.1,5.7,6.2,4.6,1,2,2,7,DIFICULDADE
112,1,1,1,1,0.0,0.0,0.0,0.0,1,2,5,5,DIFICULDADE
113,0,0,0,0,6.7,6.8,7.1,0.0,0,5,3,3,HUMANAS
114,0,0,0,0,6.8,6.7,5.8,5.2,1,13,5,7,EXATAS
