,pretende_fazer_cursos_lit,interesse_mba_lit,horas_semanais_estudo,total_modulos,modulos_iniciados,modulos_finalizados,certificados,target
0,0,0,3,58,3,2,0,perfil6
1,1,1,7,62,19,17,0,perfil3
2,0,0,9,36,3,1,0,perfil6
3,1,1,9,145,61,54,1,perfil1
4,0,0,8,33,33,29,0,perfil2
5,0,0,3,29,13,11,0,perfil4
6,0,0,8,521,190,160,1,perfil1
7,0,0,4,10,10,10,0,perfil4
8,0,0,10,27,22,17,0,perfil3
9,1,1,7,10,8,6,0,perfil5
10,1,1,9,27,16,10,0,perfil4
11,0,0,7,79,33,31,1,perfil1
12,1,1,4,30,14,11,0,perfil4
13,0,0,8,29,25,25,0,perfil2
14,1,1,7,27,11,8,0,perfil5
15,1,1,2,61,9,4,0,perfil6
16,1,1,2,61,27,9,0,perfil1
17,1,1,4,23,23,23,0,perfil2
18,0,0,10,71,56,55,0,perfil2
19,0,0,5,33,4,1,0,perfil6
20,0,0,10,59,59,59,2,perfil1
21,1,1,6,13,13,12,0,perfil4
22,1,1,3,116,47,38,0,perfil2
23,0,0,5,29,10,8,0,perfil5
24,1,1,7,77,20,14,0,perfil4
25,0,0,5,194,99,82,0,perfil2
26,0,0,6,10,10,10,0,perfil4
27,1,1,7,77,22,14,0,perfil4
28,1,1,3,303,48,36,0,perfil2
29,1,1,2,51,8,5,0,perfil5
30,1,1,3,10,8,7,0,perfil5
31,1,1,6,77,29,24,0,perfil2
32,1,1,3,27,6,5,0,perfil5
33,1,1,3,65,9,3,0,perfil6
34,0,0,8,64,2,2,0,perfil6
35,1,1,6,40,18,17,0,perfil3
36,0,0,10,515,211,130,2,perfil1
37,1,1,8,31,31,31,0,perfil2
38,0,0,8,197,82,53,0,perfil2
39,0,0,9,40,35,30,0,perfil2
40,0,0,7,185,55,48,0,perfil2
41,1,1,5,25,7,6,0,perfil5
42,1,1,5,155,112,107,5,perfil1
43,0,0,2,22,5,1,0,perfil6
44,1,1,7,41,3,1,0,perfil6
45,1,1,2,67,11,7,0,perfil5
46,0,0,6,61,9,6,0,perfil5
47,1,1,2,40,7,4,0,perfil6
48,1,1,4,28,2,1,0,perfil6
49,0,0,9,70,15,8,0,perfil5
50,1,1,6,15,15,15,1,perfil1
51,1,1,2,54,5,2,0,perfil6
52,0,0,10,27,27,27,0,perfil2
53,1,1,6,64,33,16,0,perfil3
54,1,1,9,57,13,10,0,perfil4
55,1,1,7,115,112,111,3,perfil1
56,1,1,8,22,3,3,0,perfil6
57,1,1,3,21,15,11,0,perfil4
58,1,1,7,10,10,10,0,perfil4
59,0,0,6,37,10,7,0,perfil5
60,0,0,6,33,10,7,0,perfil5
61,0,0,3,125,26,19,0,perfil3
62,0,0,8,10,4,1,0,perfil6
63,0,0,3,116,41,34,1,perfil1
64,0,0,8,236,51,36,0,perfil2
65,1,1,5,36,26,17,0,perfil3
66,1,1,9,27,19,5,0,perfil5
67,0,0,5,49,48,48,2,perfil1
68,0,0,7,49,27,25,0,perfil2
69,0,0,2,9,9,7,0,perfil5
70,1,1,10,10,3,2,0,perfil6
71,1,1,3,58,9,8,0,perfil5
72,0,0,4,100,27,24,0,perfil2
73,1,1,10,106,42,38,0,perfil2
74,1,1,8,454,153,84,1,perfil1
75,0,0,6,11,3,2,0,perfil6
76,1,1,3,23,3,1,0,perfil6
77,1,1,3,10,3,1,0,perfil6
78,1,1,4,116,14,11,0,perfil4
79,0,0,6,32,6,2,0,perfil6
80,1,1,4,75,56,53,0,perfil2
81,1,1,3,64,46,42,0,perfil2
82,0,0,4,64,43,41,1,perfil1
83,0,0,8,85,20,13,0,perfil4
84,0,0,5,40,11,10,0,perfil4
85,0,0,7,40,3,1,0,perfil6
86,0,0,2,26,6,5,0,perfil5
87,0,0,9,56,22,16,0,perfil3
88,1,1,3,71,63,59,0,perfil6
89,0,0,6,66,8,3,0,perfil6
90,1,1,5,37,37,37,0,perfil2
91,1,1,10,348,132,114,3,perfil1
92,0,0,9,61,27,23,0,perfil2
93,1,1,2,10,2,1,0,perfil6
94,1,1,4,61,60,53,2,perfil1
95,1,1,10,77,11,10,0,perfil4
96,0,0,6,33,7,5,0,perfil5
97,1,1,3,10,5,3,0,perfil6
98,0,0,5,29,8,7,0,perfil5
99,0,0,7,27,13,9,0,perfil4
100,1,1,8,18,17,15,1,perfil1
101,1,1,6,104,14,9,0,perfil4
102,1,1,10,36,5,4,0,perfil6
103,1,1,6,45,17,13,0,perfil4
104,0,0,3,352,101,77,0,perfil2
105,1,1,3,54,50,49,0,perfil2
106,1,1,9,67,18,15,0,perfil3
107,1,1,5,181,10,4,0,perfil6
108,0,0,4,31,7,6,0,perfil5
109,1,1,5,68,37,34,0,perfil2
110,1,1,5,82,82,82,3,perfil1
111,0,0,9,27,27,27,1,perfil1
112,0,0,4,79,52,49,1,perfil1
113,1,1,5,36,5,3,0,perfil6
114,0,0,3,18,5,4,0,perfil6
115,1,1,9,10,5,3,0,perfil6
