,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
0,22,65,22,14,3,26,43,18,NORMAL
1,11,56,16,14,43,20,37,15,REABASTECER
2,86,51,8,11,41,20,35,12,REABASTECER
3,76,47,65,11,37,14,32,10,NORMAL
4,68,42,60,6,35,13,26,5,REABASTECER
5,57,35,55,43,31,9,22,43,NORMAL
6,45,33,50,39,25,5,16,39,REABASTECER
7,34,28,41,39,22,43,13,34,NORMAL
8,22,24,31,35,18,40,8,29,NORMAL
9,9,16,26,33,13,38,4,24,REABASTECER
10,86,12,22,29,8,37,43,20,NORMAL
11,75,10,12,25,2,35,39,14,NORMAL
12,67,0,3,21,43,34,33,9,REABASTECER
13,59,65,65,20,38,34,27,3,REABASTECER
14,50,63,56,18,32,34,25,43,NORMAL
15,39,59,48,12,30,30,20,37,NORMAL
16,26,50,44,7,27,30,14,34,NORMAL
17,15,45,39,3,25,25,8,29,REABASTECER
18,7,35,31,43,21,20,2,27,REABASTECER
19,86,27,21,39,17,19,43,21,NORMAL
20,78,17,11,35,11,17,38,19,NORMAL
21,65,12,7,34,9,16,32,14,REABASTECER
22,57,3,65,28,4,13,30,10,REABASTECER
23,47,65,55,24,43,12,25,4,REABASTECER
24,37,62,46,21,40,9,21,43,NORMAL
25,28,60,37,15,36,9,16,39,NORMAL
26,16,52,30,10,31,4,12,33,REABASTECER
27,8,43,25,10,29,43,9,29,REABASTECER
28,86,39,19,4,24,41,3,24,REABASTECER
29,78,33,9,43,20,36,43,21,REABASTECER
30,67,27,65,43,17,33,37,18,NORMAL
31,57,21,61,43,12,33,31,16,NORMAL
32,45,17,57,38,9,29,27,10,NORMAL
33,34,15,53,32,5,29,21,6,REABASTECER
34,23,13,45,31,43,25,15,43,NORMAL
35,10,6,39,26,39,24,13,38,REABASTECER
36,86,65,35,25,35,22,7,36,NORMAL
37,74,56,25,25,33,21,3,30,NORMAL
38,63,50,16,24,30,15,43,24,NORMAL
39,54,40,11,20,28,12,40,21,NORMAL
40,47,38,2,20,23,6,36,18,REABASTECER
41,35,32,65,18,20,43,34,12,NORMAL
42,28,25,59,18,14,40,28,8,NORMAL
43,21,18,52,14,9,36,24,5,REABASTECER
44,8,14,43,9,6,32,21,43,REABASTECER
45,86,5,34,5,43,30,18,40,REABASTECER
46,79,65,28,43,37,29,12,34,NORMAL
47,70,61,20,38,35,26,10,30,NORMAL
48,62,51,16,36,33,26,6,28,NORMAL
49,49,41,11,34,30,26,43,22,NORMAL
50,37,32,1,33,24,25,38,18,REABASTECER
51,29,27,65,32,22,23,34,12,NORMAL
52,22,18,61,27,19,19,29,6,REABASTECER
53,11,10,56,25,17,14,25,43,REABASTECER
54,86,7,50,19,13,13,22,41,REABASTECER
55,78,65,43,13,11,8,20,39,NORMAL
56,71,61,37,12,6,7,15,36,REABASTECER
57,58,59,28,10,43,6,12,33,REABASTECER
58,48,50,19,7,38,43,10,29,NORMAL
59,40,45,13,3,35,42,7,26,REABASTECER
60,27,42,5,43,29,36,3,23,REABASTECER
61,16,35,65,42,23,35,43,21,NORMAL
62,8,27,58,37,17,35,40,17,REABASTECER
63,86,17,51,35,15,34,38,14,NORMAL
64,75,7,43,30,13,33,35,8,REABASTECER
65,68,65,36,26,11,32,32,4,REABASTECER
66,55,55,27,25,6,28,29,43,REABASTECER
67,48,49,21,23,43,28,23,38,NORMAL
68,37,46,16,21,38,22,21,33,NORMAL
69,25,42,12,19,33,18,15,31,NORMAL
70,13,35,7,13,27,17,9,29,REABASTECER
71,6,32,65,12,24,13,4,26,REABASTECER
72,86,28,57,12,22,8,43,24,NORMAL
73,76,20,51,9,17,8,41,22,NORMAL
74,65,10,47,7,12,5,37,16,REABASTECER
75,55,7,38,6,6,43,35,11,REABASTECER
76,42,65,32,43,43,39,30,8,NORMAL
77,33,63,24,41,40,33,24,6,REABASTECER
78,21,59,14,41,36,27,21,43,NORMAL
79,14,50,7,40,33,24,17,37,REABASTECER
80,4,42,65,34,31,19,14,35,NORMAL
81,86,33,57,32,28,13,8,32,NORMAL
82,74,24,53,26,25,13,5,30,REABASTECER
